Группа A,,,,,,,,,,,,Группа B,,,,,,,,,
30 мая,15:30,I,2,Бюро1440,,2:0 (ТП),ОЭК,,Дмитрий М,,,30 мая,15:30,I,2,Spectrum Esports,,2:0,Огузки,,Мария Б
31 мая,12:00,II,3,ОЭК,,0:2(тп),No Mercy,,Лера,,,31 мая,12:00,II,3,Огузки,,,CDEK,,Александр Т
31 мая,12:00,II,4,KOMPETENTNO,,2:0,Бюро1440,,Владимир Е,,,31 мая,12:00,II,4,Все инструменты,,2:0,Spectrum Esports,,Диана
31 мая,15:30,III,5,ОЭК,,0:2(тп),KOMPETENTNO,,Лера,,,31 мая,15:30,III,5,Огузки,,,Все инструменты,,Александр Т
31 мая,13:50,III,6,No Mercy,,2:0,Бюро1440,,Владимир Е,,,31 мая,15:30,III,6,CDEK,,2:0 (ТП),Spectrum Esports,,Диана
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Группа G,,,,,,,,,,,,Группа H,,,,,,,,,
№,Команда,,В,П,Карты,Очки,МЕСТО,,,,,№,Команда,,В,П,Карты,Очки,МЕСТО,,
1,colodec,,1,1,2-2,1,2,@oneonexgod,cld,,,1,ДИТ,,0,1,0-2,0,2,@DMan_3Brat,DIT
2,INFORCE-GAMING,,2,0,4-1,2,1,@MelsonKosmos,INFORCE,,,2,Сухарики,,1,0,2-0,1,1,@slava_duplyakin,SUXARIKI
3,4Anchors+1,,0,2,0-4,0,3,@JohnIsaki,4+1,,,3,Кухня в смоке,,-,-,-,-,-,@gropato,Невидимый тег
4,ZUB RU,,,,,,-,@armen_0405,ZUBR ,,,4,YasRusya_Team,,-,-,-,-,-,@dgzh67,YR_T
,,,,,,,,,,,,,,,,,,,,,
Расписание группы G. Формат встреч Bo3 - до двух побед,,,,,,,,,,,,Расписание группы H. Формат встреч Bo3 - до двух побед,,,,,,,,,
Дата,Время МСК,Раунд,№ встречи,Команда 1,,Счет,Команда 2,,Судья,,,Дата,Время МСК,Раунд,№ встречи,Команда 1,,Счет,Команда 2,,Судья
30 мая,15:30,I,1,colodec,,1-2,INFORCE-GAMING,,Илья Л,,,31 мая,17:30,I,1,ДИТ,,0:2,Сухарики,,Владимир Г
31 мая,18:00,I,2,4Anchors+1,,-,ZUB RU,,Александр Р,,,30 мая,9:00,I,2,Кухня в смоке,,2:0,YasRusya_Team,,Константин К
31 мая,12:00,II,3,ZUB RU,,-,INFORCE-GAMING,,Дмитрий М,,,31 мая,12:00,II,3,YasRusya_Team,,-,Сухарики,,Денис Д
31 мая,12:00,II,4,colodec,,2:0,4Anchors+1,,Мария Б,,,31 мая,12:00,II,4,ДИТ,,2:0,Кухня в смоке,,Надя
31 мая,15:30,III,5,ZUB RU,,-,colodec,,Дмитрий М,,,31 мая,15:30,III,5,YasRusya_Team,,-,ДИТ,,Денис Д
31 мая,15:30,III,6,INFORCE-GAMING,,2:0,4Anchors+1,,Мария Б,,,31 мая,15:30,III,6,Сухарики,,2:0 (ТП),Кухня в смоке,,Надя
